Strengths and Weaknesses of Air Gestures,Bucket2,Count,Quote1,Quote2,Quote3,Quote4,Quote5,Quote6,Quote7,Quote8,Quote9,Quote10,Quote11
Design rationale,Thresholds/implementation*,2,,,,,,,,"[gesture scope] the distance one that could be a little bit confusing. 'cause like how far would you have to like if you're picking up a screen like let's say you're picking like. One section, like the Edge one for example, like how close would you have to be? Would it have to be this closer this close? I think like that can get very confusing. Instead I I think like I would recommend having it be that.",,"[gesture scope]  Through this I I definitely think like the distance thing makes sense, like as long as it's like to your face distance and not like you have to like you know, lean back or walk backwards. But that makes sense. ",
Design rationale,Thresholds/implementation*,,,,,,,,,,,,
Other modalities,Continuity touch/air gestures,4,,"[grab and release photo] I would probably like physically click on the image on the phone. Actually make contact like touch the image and then probably grab it like grab it. Off of the so I'd like it's hard to explain, but I'd like touch the image. It's almost like you're copying and pasting where you have to do like a long hold.Grab it, move my fingers off of the phone.And then put it on my desktop.And like throw it on my desktop so it would be both touching as well as like removing it. [...] Exactly right, it feels weird to like sort of try to mid air gesture that actual touch piece [...] it feels more interesting to me to like basically like touch the actual device and say I want this image. Let's say there's five of them. I want this image and then like grab it and then throwing.",,,"[extend desktop pointing] The gesture is less compelling because it feels similar to like a touch screen, but it's doesn't operate like a touch screen. Like I'm guessing that he's not actually touching the screen, but it's that it's the same muscle memory I think, oh, it's like hitting a button on an ATM so.",,,"[gesture scope] Instead of like scaling it this way where you're selecting both, I would tap the screen and then both would light up and then this way you can motion your hand to either panel to make the selection of which panel you wanna I guess, select and then you can kind of keep the like picking a detailed part in that in that frame, like as a as like a point of pointing thing. I think that makes a lot of sense.",,"[gesture scope]  Through this I I definitely think like the distance thing makes sense, like as long as it's like to your face distance and not like you have to like you know, leave back or walk backwards. But that makes sense. And I do love the idea of like yeah like you know, even though you're using the gesture, you can really zero in on something you know and and points.",
Other modalities,Comparison of usage wrt other modalities*,8,"[phone navigation] Uh, like the color picker or some of the pallets like I I can imagine that being helpful where the the touch interaction where you don't have to stick your arm up would make sense or or especially again a desktop workstation type of scenario where that's likely not going to be a touch display and large and large cursor movements as far less convenient than.","[extend desktop pointing] From one to another, but yeah, point pointing is not the way to go because like pointing is almost like clicking.Or like you're counting, that's just not the gesture I'd use.",[gesture shortcuts] So I also think might be useful when there are more than three keys involved in the shortcut [...] for people it might be easier to remember. I take a picture [mime take a picture with a camera with hand],"[grab and release photo] Sometimes you want to copy and then paste it somewhere like select, copy and paste like what you would do with the selector game paste. Sometimes you want to huh copy the file. Right, and even if you were using your keyboard, would do something similar. The result is very different. So I was thinking does this gesture describe what I would most often do, which is more like the copy and paste scenario. and I feel I think it does. ","[gesture shortcuts] Uh, yeah. But just if you're copy pasting lots of things, it's very ungraceful in any platform, [similar to] touch on the phone.","[gesture shortcuts] Yeah, this is more learnable [than keyboard shortcuts] because it just you are, you know, brain's coordinating with your movements and it's it's it's much more. You know, like you feel more in control than having to rely on a device, but you're just like controlling your hands and your gestures by yourself. You know, it's it's I feel yeah.",,[gesture modifier] Being the you know the the gesture movement plus you know adding a component of voice or adding a component of you know pushing a key on a keyboard I think would make a whole lot of sense. I think I I definitely think like selecting and calling out like what voice control is definitely more useful. Useful in this situation.,"I also really liked the idea of having different forms of input and the idea of being able to select which type of input you prefer, which I know is not what you wanted. It was like you know you have to develop three to separate systems, but I really like the idea that it it allows for accessibility.",,
Other modalities,Comparison of usage wrt other modalities*,,It [selecting something small on the UI] might equal just the amount of time they would take for me to go tackle some things with the mouse or with the keyboard.,,"[input redirection] WhatsApp allows me to do it [type text] on the computer, but there are other things in my phone that doesn't allow me to do it with the computer. for instance, I'm starting to talk someone via SMS and I'm like oh so I have to type directly on my phone, right? Which I don't like right? I like [a hard keyboard not a soft one].","[gesture shortcuts] Where I am already working to do something, uh, somewhere thing, and then go back to the keyboard. I I I rather do it with the keyboard in the first place.",,,,,"[gesture sequence] I'm a very visual person. I have dyslexia, so it's so much easier for me to think about. Using those gestures to kind of do things rather than pointing and clicking a button and kind of reading and doing things like that, like reading the title of things, it's it makes the digital space a little bit more spatial and I really like that.",,
Other modalities,Comparison of usage wrt other modalities*,,What software so less often than keyboard and mouse less often then touch but more often than I would use the pen?,,,,,,,,,,
Other modalities,Air gesture vs speech*,3,"Which is kind of like the counterpoint to like a like to like a voice activated approach where you know if it works 95% of the time, like the 5% that it doesn't do what it's going like that the other 5% would probably keep me from from engaging with it, because like there's no immediate feedback way for me to say like no don't do that, or at least like the cost for me is far greater than the benefit. But they're like if it doesn't interpret me like I feel like I can kind of like I could recover pretty quickly.",,,,"[audio redirection] I think I I'm thinking I think I'm thinking about like how I use the voice assistance, which is like, technically there's probably a lot of stuff and we have both in our house so I could use the Alexa. I could use the Homepod in a bunch of ways, but it's actually like too much mental overhead to remember the syntax and I feel the same way about gestures like. [...] It's like the it's like the analog of. Yeah, it is much faster to yell. Hey Siri, what time is it? Or you know, hey Siri, what's the temperature or hey Siri play? You know we don't talk about Bruno like those like those are very simple. I can remember those. Uh, but I don't ever do anything more complicated. ",,,,,"[move app] Uhm, no, I don't think so. I was thinking like if you know we were using some other input with with it was like language versus gesture. I do find like you know the learning curve for me with with Alexa was trying to find the new like or Cortana or whatever you wanna use. Uh, yeah, there was fighting the right language that made sense, and whereas I think with gestures it just feels so much more natural.",
Other modalities,Air gesture vs speech*,,"so OK, uh, let's see. So if they're the same level reliability, just you know, making that assumption I, I think the the question that I think the real question is like how quickly can I recover when it does the wrong thing and so usually like at the the visual indicator. Like you know the that's milliseconds of you know kind of saying OK, like it it's it's not interpreting me correctly as opposed to in a voice scenario like it will take a few seconds because like you like the the round trip time for be to understand like is it doing the right thing or the wrong thing like it's several seconds.",,,,,,,,,,
Other modalities,Gesture modifier*,6,"[input redirection] I would love there for there to be why I guess where I'm well call like a gesture modifier so kind of like how there's a keyboard modifier like like if I could say like in the gesture like move this over and move my input like and move my input with it. That I think would would help the other experiences out. Yeah, because like I at the same time, there's cases where like no like I like I don't need the input moved over as well, so I think it's kind of the like by default. I probably want the input moved over Blake, I can imagine.",,,,"There's probably a few gestures that I would just get muscle memory for very quickly, but I don't think there are that many where.",,"[gesture modifer] with the time one, I don’t want to wait and then wait again. If im in a customer meeting I can see that be a little bit annoying. Not a huge deal but enough to make you frustrated. ","[gesture modifier] I just think it's  [pairing gesture with additional modality] like more control, especially like if you're using a component of an uh of a larger application. Yeah, I think that like the role of like having like, the key is definitely like. Just like applying like more like control and precision. I think like having a like being able to call out like you know, like mute, like if I'm for instance like grabbing grabbing something like part of an application run, grabbing part of application and I want to say like move to tablet one you know then like that would be then I could just be like.","[gesture modifier] I think my preference would be a voice adding voice component to it.  I think the the reason why I chose voice is because all the examples that we've seen so far, the commands have been really simple. They've been move select. I don't know save, copy, you know they're they're commands that I know already.","[split app] [The gesture] does make sense, but I just think I'm like I think if I'm used to grabbing things like this and then all of a sudden like oh I'm trying to manipulate a smaller like it's it's. It's essentially like, oh you're making me put multiple different gestures together in in one right? So I it's like I don't know what that would be. It would almost be like I would kind of like a voice and gesture like.",
Other modalities,Gesture modifier*,,,,,,"Yeah, I and I think there's there's. There's again that small universe of maybe there's three or four gestures that I could do one handed with one hand on the wheel and it would. Even if it didn't do the entire action. Maybe it would just call up the the correct app to the forefront.",,[gesture modifier] I would not want the voice either. Because if you are in a meeting that would not work. [..] I would prefer to not speak I think. I would prefer mouse or keyboard button.,,,"[gesture modifier] If it almost is like I don't know what it is, it's like a backup, right? It's like if if gesture like isn't working perfectly for you, you can use that additional support system and it feels like you're using couple of your senses versus just one. I don't like. I don't know what it I. I think I would prefer voice over.",
Other modalities,Combining w sensing*,1,"He UM, maybe along a different dimension, like one of the things that like when I started to see some of your examples is like, is there a way to also incorporate like eye gaze or like like kind of on top of the gesture? Like can I then provide precision using eye gaze or some other mechanism to?",,,,,,,,,,
